,goleador_local,goleador_visitante,equipo_local,equipo_visitante
210,[],['S. Rincón'],Sarmiento,Arsenal de Sarandí
211,[],['O. Benítez'],Sarmiento,Arsenal de Sarandí
213,['Walter Bou'],[],Sarmiento,Arsenal de Sarandí
214,[],['M. Guanini'],Sarmiento,Arsenal de Sarandí
215,['V. Figueroa'],[],Sarmiento,Arsenal de Sarandí
216,[],['M. Cauteruccio'],Sarmiento,Arsenal de Sarandí
219,['R. Perez'],[],Sarmiento,Arsenal de Sarandí
221,['G. Vargas'],[],Sarmiento,Arsenal de Sarandí
222,['L. Márquez'],[],Sarmiento,Arsenal de Sarandí
223,[],['D. Rodriguez'],Sarmiento,Arsenal de Sarandí
224,['L. Sánchez'],[],Sarmiento,Arsenal de Sarandí
226,[],['J. Correa'],Sarmiento,Arsenal de Sarandí
227,['A. Balboa'],[],Sarmiento,Arsenal de Sarandí
228,['J. Menéndez'],[],Sarmiento,Arsenal de Sarandí
229,['S. Palacios'],[],Sarmiento,Arsenal de Sarandí
230,['G. Bottino'],[],Sarmiento,Arsenal de Sarandí
231,[],['I. Marcone'],Sarmiento,Arsenal de Sarandí
237,['D. González'],[],Sarmiento,Arsenal de Sarandí
239,['L. Licht'],[],Sarmiento,Arsenal de Sarandí
241,[],['M. Rodriguez'],Sarmiento,Arsenal de Sarandí
242,[],['E. Brítez'],Sarmiento,Arsenal de Sarandí
243,['E. Godoy'],[],Sarmiento,Arsenal de Sarandí
249,['F. Mussis'],[],Sarmiento,Arsenal de Sarandí
251,[],['C. Pavón'],Sarmiento,Arsenal de Sarandí
254,['C. Menéndez'],[],Sarmiento,Arsenal de Sarandí
255,['P. Cáceres'],[],Sarmiento,Arsenal de Sarandí
256,['J. Acosta'],[],Sarmiento,Arsenal de Sarandí
257,['I. Quílez'],[],Sarmiento,Arsenal de Sarandí
258,[],['D. Cháves'],Sarmiento,Arsenal de Sarandí
259,[],['E. Dening'],Sarmiento,Arsenal de Sarandí
260,['J. Mansilla'],[],Sarmiento,Arsenal de Sarandí
264,['F. Telechea'],[],Sarmiento,Arsenal de Sarandí
266,[],['V. Ramis'],Sarmiento,Arsenal de Sarandí
267,['G. Peruzzi'],[],Sarmiento,Arsenal de Sarandí
269,['G. Aguirre'],[],Sarmiento,Arsenal de Sarandí
271,['I. Pussetto'],[],Sarmiento,Arsenal de Sarandí
272,[],['G. Colman'],Sarmiento,Arsenal de Sarandí
275,['J. Toledo'],[],Sarmiento,Arsenal de Sarandí
281,[],['S. Penco'],Sarmiento,Arsenal de Sarandí
283,[],['G. Bergessio'],Sarmiento,Arsenal de Sarandí
284,['M. Rodriguez'],[],Sarmiento,Arsenal de Sarandí
285,[],['Paulo Diaz'],Sarmiento,Arsenal de Sarandí
286,[],['G. Conti'],Sarmiento,Arsenal de Sarandí
287,[],['T. Sandoval'],Sarmiento,Arsenal de Sarandí
290,[],['G. Montiel'],Sarmiento,Arsenal de Sarandí
293,['F. Soldano'],[],Sarmiento,Arsenal de Sarandí
294,['F. Andrada'],[],Sarmiento,Arsenal de Sarandí
298,['M. Fornari'],[],Sarmiento,Arsenal de Sarandí
299,[],['J. Sand'],Sarmiento,Arsenal de Sarandí
301,['P. Ledesma'],[],Sarmiento,Arsenal de Sarandí
302,['G. Bou'],[],Sarmiento,Arsenal de Sarandí
303,[],['M. Formica'],Sarmiento,Arsenal de Sarandí
305,['L. Ardente'],[],Sarmiento,Arsenal de Sarandí
306,['E. Dening'],[],Sarmiento,Arsenal de Sarandí
309,['M. Cauteruccio'],[],Sarmiento,Arsenal de Sarandí
310,['N. Ortigoza'],[],Sarmiento,Arsenal de Sarandí
311,[],['P. Toranzo'],Sarmiento,Arsenal de Sarandí
313,['A. Castro'],[],Sarmiento,Arsenal de Sarandí
317,['V. Salazar'],[],Sarmiento,Arsenal de Sarandí
318,[],['V. Cuesta'],Sarmiento,Arsenal de Sarandí
319,[],['D. Benedetto'],Sarmiento,Arsenal de Sarandí
320,['R. Carrera'],[],Sarmiento,Arsenal de Sarandí
324,[],['B. Pitton'],Sarmiento,Arsenal de Sarandí
325,[],['N. Stefanelli'],Sarmiento,Arsenal de Sarandí
326,['Matías Vargas'],[],Sarmiento,Arsenal de Sarandí
327,['C. Nasuti'],[],Sarmiento,Arsenal de Sarandí
328,['M. Caire'],[],Sarmiento,Arsenal de Sarandí
331,['Juan Brunetta'],[],Sarmiento,Arsenal de Sarandí
332,['S. Velázquez'],[],Sarmiento,Arsenal de Sarandí
333,[],['A. Sporle'],Sarmiento,Arsenal de Sarandí
335,['R. Braña'],[],Sarmiento,Arsenal de Sarandí
336,[],['P. Ledesma'],Sarmiento,Arsenal de Sarandí
337,[],['G. Ortíz'],Sarmiento,Arsenal de Sarandí
338,['Á. González'],[],Sarmiento,Arsenal de Sarandí
341,['A. Silva'],[],Sarmiento,Arsenal de Sarandí
343,['D. Godoy'],[],Sarmiento,Arsenal de Sarandí
344,[],['A. Arregui'],Sarmiento,Arsenal de Sarandí
346,[],['Lautaro Martínez'],Sarmiento,Arsenal de Sarandí
349,[],['A. Balboa'],Sarmiento,Arsenal de Sarandí
351,['C. Bieler'],[],Sarmiento,Arsenal de Sarandí
353,[],['F. Belluschi'],Sarmiento,Arsenal de Sarandí
354,['G. Denis'],[],Sarmiento,Arsenal de Sarandí
356,[],['T. Gutiérrez'],Sarmiento,Arsenal de Sarandí
359,[],['L. Godoy'],Sarmiento,Arsenal de Sarandí
360,['S. Almirón'],[],Sarmiento,Arsenal de Sarandí
361,['M. Abero'],[],Sarmiento,Arsenal de Sarandí
366,['S. Bertoli'],[],Sarmiento,Arsenal de Sarandí
367,['M. Minetti'],[],Sarmiento,Arsenal de Sarandí
368,[],['J. Mattia'],Sarmiento,Arsenal de Sarandí
369,['A. Cólzera'],[],Sarmiento,Arsenal de Sarandí
370,[],['M. Velázquez'],Sarmiento,Arsenal de Sarandí
373,[],['S. Prediger'],Sarmiento,Arsenal de Sarandí
378,['F. Gonzalez'],[],Sarmiento,Arsenal de Sarandí
381,['M. Sperduti'],[],Sarmiento,Arsenal de Sarandí
383,[],['L. Viatri'],Sarmiento,Arsenal de Sarandí
385,[],['V. López'],Sarmiento,Arsenal de Sarandí
386,[],['M. Caire'],Sarmiento,Arsenal de Sarandí
389,[],['F. Mancinelli'],Sarmiento,Arsenal de Sarandí
390,[],['N. Sánchez'],Sarmiento,Arsenal de Sarandí
391,['G. Cosaro'],[],Sarmiento,Arsenal de Sarandí
393,[],['S. Garcia'],Sarmiento,Arsenal de Sarandí
394,[],['Facundo Silva'],Sarmiento,Arsenal de Sarandí
396,[],['Walter Bou'],Sarmiento,Arsenal de Sarandí
401,['N. Stefanelli'],[],Sarmiento,Arsenal de Sarandí
402,[],['A. Gagliardi'],Sarmiento,Arsenal de Sarandí
407,['J. Capelli'],[],Sarmiento,Arsenal de Sarandí
408,[],['K. Itabel'],Sarmiento,Arsenal de Sarandí
409,[],['M. Albertengo'],Sarmiento,Arsenal de Sarandí
410,['G. Ramírez'],[],Sarmiento,Arsenal de Sarandí
411,[],['R. Spinacci'],Sarmiento,Arsenal de Sarandí
412,[],['A. Niz'],Sarmiento,Arsenal de Sarandí
413,[],['L. Díaz'],Sarmiento,Arsenal de Sarandí
416,['D. Depetris'],[],Sarmiento,Arsenal de Sarandí
417,['J. Iritier'],[],Sarmiento,Arsenal de Sarandí
418,[],['C. Bernardi'],Sarmiento,Arsenal de Sarandí
419,[],['N. Leguizamón'],Sarmiento,Arsenal de Sarandí
420,[],['L. Miranda'],Sarmiento,Arsenal de Sarandí
421,['D. Sosa'],[],Sarmiento,Arsenal de Sarandí
422,[],['A. Medina'],Sarmiento,Arsenal de Sarandí
425,['J. Sills'],[],Sarmiento,Arsenal de Sarandí
434,[],['W. Camacho'],Sarmiento,Arsenal de Sarandí
435,['Emanuel Insúa'],[],Sarmiento,Arsenal de Sarandí
441,[],['A. Cólzera'],Sarmiento,Arsenal de Sarandí
444,[],['W. Andrade'],Sarmiento,Arsenal de Sarandí
446,['K. Mercado'],[],Sarmiento,Arsenal de Sarandí
452,[],['J. Amoroso'],Sarmiento,Arsenal de Sarandí
455,[],['F. Soldano'],Sarmiento,Arsenal de Sarandí
457,[],['G. Vadalá'],Sarmiento,Arsenal de Sarandí
